Title,Artist,Year_Date
永久hours,Aqours,202501
SWITCH,Ryosuke Yamada,202501
Strategy,TWICE,202501
テトリス,柊マグネタイト,202501
HIRAKEGOMA,Number_i,202501
トクシック・ティル・ジ・エンド,ロゼ,202501
50%,Official髭男dism,202501
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON(from BIGBANG),202501
ビターバカンス,Mrs.GREEN APPLE,202501
The wish,TWICE,202501
Episode X,Ado,202501
First Christmas feat. JUNON,REIKO,202501
チェックのワンピース,back number,202501
モニタリング,DECO*27,202501
Sparkling Moon,GANG PARADE,202501
TABOO NIGHT XXXX,QUARTET NIGHT,202501
New me,YOASOBI,202412
it's okay,LANA,202412
Sailing,BE:FIRST,202412
Tomorrow,ME:I,202412
Running Wild,JIN,202412
雷神 風神 - レゾナンス,BUCK-TICK,202412
ミチシルベ,IMP.,202412
勇気100%,なにわ男子,202412
because,timelesz,202412
APT.,ロゼ & ブルーノ・マーズ,202412
DRIP,BABYMONSTER,202412
Identity,MISAMO,202412
ringo,秦基博×草野マサムネ,202412
ありがとう心から,なにわ男子,202412
AwA AwA,超特急,202412
夢之相 - イメノアイ,原因は自分にある。,202412
Azalea,米津玄師,202412
No Doubt,ENHYPEN,202412
GIANT,Stray Kids,202412
HOWLING,XG,202412
もういいよ,こっちのけんと,202412
Got Boost?,FANTASTICS from EXILE TRIBE,202411
Bunny Girl,AKASAKI,202411
IYKYK,XG,202411
桜日和とタイムマシン with 初音ミク,Ado,202411
IGNITION,刀剣男士 formation of 花影,202411
かわいいだけじゃだめですか?,CUTIE STREET,202411
"LOVE, MONEY, FAME (feat.DJ Khaled)",SEVENTEEN,202411
愛とU,Mega Shinnosuke,202411
Whiplash,aespa,202411
Cherish (My Love),ILLIT,202411
十五夜 (Jyuugoya),&TEAM,202411
TAIDADA,ずっと真夜中でいいのに。,202411
Mantra,JENNIE,202411
MASCARA,King Gnu,202411
Dystopia,ONE OK ROCK,202411
Frontier,OWV,202411
NEW LOOK,MISAMO,202411
Crazy Crazy,Travis Japan,202411
One,Snow Man,202411
アポリア,ヨルシカ,202411
オトノケ,Creepy Nuts,202411
Fly Higher,Travis Japan,202411
風神,Vaundy,202411
NEW KAWAII,FRUITS ZIPPER,202411
ねっこ,King Gnu,202411
I'll Be There,JIN,202411
モノトーン,YOASOBI,202411
フルーツバスケット,FRUITS ZIPPER,202411
原因は自分にある。【別解】,原因は自分にある。,202411
エビバディグッジョブ!,M!LK,202411
BAM-BOO,IMP.,202411
Same Blue,Official髭男dism,202411
ICE,Number_i,202410
Bye 24/7,Number_i,202410
Recipe,Number_i,202410
涙、ふわり。,Jams Collection,202410
Go Higher,WayV,202410
GGUM,YEONJUN,202410
透明になりたい,Number_i,202410
おかえり,Tani Yuuki,202410
元彼女のみなさまへ,コレサワ,202410
UMP,Hey!Say!JUMP,202410
猫にジェラシー,あいみょん,202410
I want tomorrow to come,櫻坂46,202410
CRAZY,LE SSERAFIM,202410
WHERE DO WE GO,JO1,202410
モエチャッカファイア,弌誠,202410
憂、燦々,ヨルシカ,202410
iLY,Number_i,202410
familie,Mrs.GREEN APPLE,202409
"Friends, Family & God (feat. G-k.i.d & KEIJU)",Kvi Baba,202409
ざらめ,あいみょん,202409
Blissful,BE:FIRST,202409
Hi-Five,ME:I,202409
Curry on love,Lienel,202409
青嵐 (Aoarashi),&TEAM,202409
EMPIRE,Snow Man,202409
チートデイ,乃木坂46,202409
INZM,Number_i,202409
ひとつの誓い (We'll Never Change),TOMORROW X TOGETHER,202409
がらくた,米津玄師,202409
わたしの一番かわいいところ,FRUITS ZIPPER,202409
KING KONG,TREASURE,202409
RED OUT,米津玄師,202409
夏恋ジレンマ,わーすた,202409
絶対的第六感,日向坂46,202409
Chk Chk Boom,Stray Kids,202408
Feelin' Go(o)d,藤井風,202408
UNDEAD,YOASOBI,202408
ホムンクルス,Vaundy,202408
Sharon,Official髭男dism,202408
ルル,Ado,202408
忘れてください,ヨルシカ,202408
P-P-P-PERO,原因は自分にある。,202408
DiVE !N,ROF-MAO,202408
nevermind,muque,202408
I Do I Do,KARA,202408
新しい恋人達に,back number,202408
Pump It Up! feat. TAKUMA THE GREAT,DA PUMP,202408
若者のすべて,suis from ヨルシカ,202408
DIVE,TWICE,202408
SOMETHING AIN'T RIGHT,XG,202408
恋 詰んじゃった,AKB48,202408
ファタール,GEMN,202408
Who,JIMIN,202408
カーテンコール,優里,202408
アポロドロス,Mrs.GREEN APPLE,202408
EYES ON YOU,西野カナ,202408
KO. DA. MA.,THE ALFEE,202408
WE ARE,STARTO for you,202408
RISE UP,NiziU,202408
舞台に立って,YOASOBI,202408
愛のホログラム,SKE48,202408
ラッキーカラー,あいみょん,202408
Delusion:All,ONE OK ROCK,202408
コロンブス,Mrs.GREEN APPLE,202407
BREAKOUT,Snow Man,202407
24karats GOLD GENESIS,THE RAMPAGE from EXILE TRIBE,202407
Last night (Guitar by Park Juwon),JEONGHAN X WONWOO,202407
まるごとJELLY BE∀NS,カラフルダイヤモンド,202407
BON,Number_i,202407
自業自得,櫻坂46,202407
Never Let Go,Jung Kook,202407
毎日,米津玄師,202407
殺意vs殺意,マキシマム ザ ホルモン,202407
Boom Boom Bass,RIIZE,202407
ノーバディ,ワンリパブリック,202407
ABCD,NAYEON,202407
"High Land (feat. Tiji Jojo, Vingo & YZERR)",BAD HOP,202407
はいよろこんで,こっちのけんと,202407
Armageddon,aespa,202407
Sweetest Tune,Travis Japan,202407
LOUD,INI,202407
37.2度,杉本琢弥,202407
Bubble Gum,NewJeans,202407
MIRROR,Ado,202407
Supernatural,NewJeans,202407
CONNECT,IS:SUE,202407
halfmoon,King & Prince,202406
Get Wild,B'z,202406
夢幻,MY FIRST STORY × HYDE,202406
これが愛なのか?,NMB48,202406
ランチ,ビリー・アイリッシュ,202406
運命,sumika,202406
メズマライザー,サツキ,202406
moooove!!,King & Prince,202406
初恋キラー,乃紫,202406
Supernova,aespa,202406
HEYA,IVE,202406
MAESTRO,SEVENTEEN,202406
Dear,Mrs.GREEN APPLE,202406
会いに行くのに,あいみょん,202406
WOKE UP,XG,202406
パショギラ,GANG PARADE,202406
オーバーライド,吉田夜世,202406
≪A≫BEGINNING,Aぇ! group,202406
Romantic,SEKAI NO OWARI,202406
Lose My Breath (feat.Charlie Puth),Stray Kids,202406
Mania,原因は自分にある。,202406
HIGHER EX,BALLISTIK BOYZ from EXILE TRIBE,202406
Feel the POP,ZEROBASEONE,202406
Accendio,IVE,202406
How Sweet,NewJeans,202406
HONEY,BUDDiiS,202406
Love seeker,JO1,202406
CyberHelix,THE RAMPAGE from EXILE TRIBE,202406
ジュブナイラー,超特急,202405
相思相愛,aiko,202405
Click,ME:I,202405
Magnetic,ILLIT,202405
ONE DAY,KID PHENOMENON,202405
Melty flowers,Lienel,202405
フォートナイト feat. ポスト・マローン,テイラー・スウィフト,202405
Impossible,RIIZE,202405
traveling,宇多田ヒカル,202405
Masterplan,BE:FIRST,202405
ブルーシャワー,M!LK,202405
You,808,202405
涙のTomorrow,小関舞,202405
さよーならまたいつか！,米津玄師,202405
hanataba,milet,202405
I wonder,Da-iCE,202405
SHEESH,BABYMONSTER,202405
ビビデバ,星街すいせい,202405
忘レナ唄,マカロニえんぴつ,202405
絶対零度,なとり,202405
B級,ちゃんみな,202405
Stormy,Nissy(西島隆弘) × SKY-HI,202405
人間として,椎名林檎,202405
ライラック,Mrs.GREEN APPLE,202405
声,ZORN,202405
Lucky Girl Syndrome,ILLIT,202405
ハート,WEST.,202405
邂逅,BUMP OF CHICKEN,202405
Blow Your Cover,Number_i,202405
推論的に宇宙人,原因は自分にある。,202404
春愁,Mrs.GREEN APPLE,202404
正解,RADWIMPS,202404
JUBiiLEE,BUDDiiS,202404
RAINBOWxPATROL,AMPTAKxCOLORS,202404
FUJI,Number_i,202404
Smart,LE SSERAFIM,202404
絶絶絶絶対聖域,ano feat.幾田りら,202404
ゆらゆら -運命の花-,ZEROBASEONE,202404
ベランダ feat. 戦慄かなの,ヤングスキニー,202404
サクラキミワタシ,tuki.,202404
カラコンウインク,AKB48,202404
タイムマシン,SEKAI NO OWARI,202404
満ちてゆく,藤井風,202404
FRI(END)S,V,202404
少しだけ,五十嵐ハル,202404
レジェンダリー,ボン・ジョヴィ,202404
Days of Birth,LINKL PLANET,202404
T.G.I. Friday Night,Travis Japan,202404
ONE SPARK,TWICE,202404
Be on Your side,to HEROes,202404
SWEET NONFICTION,NiziU,202404
LOVE TRIGGER,Snow Man,202403
OCTAVE,OCTPATH,202403
Can't Say Goodbye,THE RAMPAGE from EXILE TRIBE,202403
マルチバース・アドベンチャー,原因は自分にある。,202403
オレンジ,SPYAIR,202403
何色でもない花,宇多田ヒカル,202403
えいきゅーむちゅーでこうしんちゅっ!(ハート),わーすた,202403
EASY,LE SSERAFIM,202403
"Last Party Never End (feat. Tiji Jojo, YZERR, Vingo & Yellow Pato)",BAD HOP,202403
二度寝,Creepy Nuts,202403
ショコラカタブラ,Ado,202403
クルーエル・サマー,テイラー・スウィフト,202403
LEGIT,INI,202403
鬼ノ宴,友成空,202403
冬空ラプソディー,Jams Collection,202403
何歳の頃に戻りたいのか?,櫻坂46,202403
美しく生きろ,高嶺のなでしこ,202403
Aqua,JO1,202403
Use Your Body,DA PUMP,202403
I GOT YOU,TWICE,202403
ひとみ,福山雅治,202403
幸せのために生きているだけさ,SUPER BEAVER,202403
アンビバレント,Uru,202402
FREEDOM,西川貴教 with t.komuro,202402
タイムパラドックス,Vaundy,202402
アンスロポス,関ジャニ∞[エイト],202402
Love Wins All,IU,202402
幾億光年,Omoinotake,202402
何°Cでも,ammo,202402
去り際のロマンティクス,See-Saw,202402
Bling-Bang-Bang-Born,Creepy Nuts,202402
GOAT,Number_i,202402
晴る,ヨルシカ,202402
Kiss Plan,M!LK,202402
冬と春,back number,202402
君は何を後悔するのか?,STU48,202402
ナハトムジーク,Mrs.GREEN APPLE,202402
We'll go together,Snow Man,202402
ダイヤモンドリリー,原因は自分にある。,202402
光の跡,星野源,202402
Love 119,RIIZE,202402
全方向美少女,乃紫,202402
"イエス, アンド?",アリアナ・グランデ,202402
コズミック祭大革命,FES☆TIVE,202402
Kissin' Christmas (クリスマスだからじゃない) 2023,桑田佳祐&松任谷由実,202401
アンチコンフィチュール,≠ME,202401
君の居場所(Have a Good Time Here),竹内まりや,202401
Sleepwalk,なとり,202401
ウィッシュ〜この願い〜,生田絵梨花,202401
SOLDIER LOVE,THE RAMPAGE from EXILE TRIBE,202401
FEEL OR BEEF BADPOP IS DEAD,舐達麻,202401
WINTER WITHOUT YOU,XG,202401
