YT動画名,曲名,アーティスト,YT投稿日,YT再生数,Spotify URL
BABYMONSTER - 'Love In My Heart' M/V,Love In My Heart,BABYMONSTER,2024-12-15,58407058,https://open.spotify.com/track/0A9s1ZDOZsYsbfkRk6q2cr
【Offical Music Video】みむかｩわナイストライ / Mimukauwa Nice Try,み む かゥ わ ナ イ ス ト ラ イ,ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ,2024-12-06,27341542,https://open.spotify.com/track/5SXF0cKaxsWJYDFMbXGvoA
ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),toxic till the end,ROSÉ,2024-12-06,67706981,https://open.spotify.com/track/1z5ebC9238uGoBgzYyvGpQ
ずっと真夜中でいいのに。『TAIDADA』MV (ZUTOMAYO - TAIDADA)【ダンダダン MAD】,TAIDADA,ZUTOMAYO,2024-12-05,21846561,https://open.spotify.com/track/4cPwi7lcWxRQNEb4xC77fC
TREASURE - 'LAST NIGHT' M/V,LAST NIGHT,TREASURE,2024-12-05,54664554,https://open.spotify.com/track/0wj6YvMyjLLcGKJtG0GIRR
ROAST YOURSELF CHALLENGE - Hermanitas de Yolo Aventuras,Roast Yourself Challenge - Las Hermanitas de Yolo Aventuras,Yolo Aventuras,2024-11-30,69257327,https://open.spotify.com/track/0nN6ow2xBdAwXimrX4CSlH
ROSÉ - number one girl (official music video),number one girl,ROSÉ,2024-11-22,69142916,https://open.spotify.com/track/1lcBt7LoEikqYmhUoa2cez
DECO*27 - モニタリング feat. 初音ミク,モニタリング,DECO*27,2024-11-22,23860559,https://open.spotify.com/track/1iywVk6Xx1XmJwd0rExYI3
テトリス / 重音テトSV,テトリス,柊マグネタイト,2024-11-08,27455390,https://open.spotify.com/track/6LIpqsMbsfc8I7F0dsFXsv
オブソミート / 初音ミク・重音テトSV,オブソミート (feat. 初音ミク&重音テト),32ki,2024-11-08,11418578,https://open.spotify.com/track/0EiO4pTxMxx8Qq2lUmBwij
BABYMONSTER - ‘DRIP’ PERFORMANCE VIDEO,DRIP,BABYMONSTER,2024-11-05,62238046,https://open.spotify.com/track/1MUZitHRpmng5NevrvNx4T
TVアニメ『ダンダダン』×Creepy Nuts｢オトノケ｣  Collaboration Music Video,オトノケ - Otonoke,Creepy Nuts,2024-11-01,12493872,https://open.spotify.com/track/6KYOlIwDHbrbeBbJEtQ0Fj
風神 / Vaundy (TBS系金曜ドラマ『ライオンの隠れ家』主題歌) / Vaundy：MUSIC VIDEO,風神,Vaundy,2024-11-01,16194225,https://open.spotify.com/track/00GDUNeJd97qjKp2yrx0OC
BABYMONSTER - 'CLIK CLAK' M/V,CLIK CLAK,BABYMONSTER,2024-10-30,106817755,https://open.spotify.com/track/4hCKVecuybp8IrwRfN8fr1
aespa 에스파 'Whiplash' MV,Whiplash,aespa,2024-10-21,113929663,https://open.spotify.com/track/7Cnpb1vBbC46RgVyyKLH7p
ROSÉ & Bruno Mars - APT. (Official Music Video),APT.,ROSÉ,2024-10-18,926817375,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY
Creepy Nuts - オトノケ(Otonoke) 【Official MV】 [Dandadan OP],オトノケ - Otonoke,Creepy Nuts,2024-10-17,48777285,https://open.spotify.com/track/6KYOlIwDHbrbeBbJEtQ0Fj
【MV】CUTIE STREET「かわいいだけじゃだめですか？」,かわいいだけじゃだめですか？,CUTIE STREET,2024-10-16,24935879,https://open.spotify.com/track/3KtwMkj9gml6BDeYlyS8nG
【Kanaria】BRAIN,BRAIN,Kanaria,2024-10-11,13859750,https://open.spotify.com/track/27Yo7rtsCyg3TKvpeyn9HG
JENNIE - Mantra (Official Music Video),Mantra,JENNIE,2024-10-11,134566235,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb
NEWS – チャンカパーナ [Official Music Video],チャンカパーナ,NEWS,2024-10-09,13797939,https://open.spotify.com/track/7Eh12O6cdN02uLHGDqQGMC
POP IN 2,POP IN 2,B小町,2024-10-08,12846125,https://open.spotify.com/track/6WGrtUmFwTaP5G8AeegajH
