曲名,アーティスト,YT投稿日,YT再生数,漢字ポジティブ合計スコア,ポジティブな漢字割合,ネガティブな漢字割合,標準偏差,ポジ最大,ネガ最大,最もポジティブな漢字,最もネガティブな漢字,漢字頻度順
"みむかｩわナイストライ(Mimukauwa Nice Try)

",ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ,2024-12-06,27341542,-1.959099680185320,32.926829268292700,67.07317073170730,0.05705781,0.13773179,-0.1242975,生,負,越(8) 出(7) 勝(4) 手(3) 札(3) 私(3) 負(3) 此(3) 奴(3) 笑(2) 場(2) 酸(2) 性(2) 雨(2) 埋(2) 言(2) 多(1) 過(1) 次(1) 秘(1) 訣(1) 教(1) 煽(1) 知(1) 舌(1) 打(1) 早(1) 聞(1) 噛(1) 犬(1) 抜(1) 擢(1) 所(1) 詮(1) 先(1) 時(1) 代(1) 最(1) 終(1) 回(1) 対(1) 生(1) 敗(1) 北(1) 宣(1) 豆(1) 腐(1)
TAIDADA,ZUTOMAYO,2024-12-05,21846561,-2.8464165441691900,35.0,65.0,0.050473593,0.117716074,-0.10832411,君,誤,全(8) 自(5) 用(5) 気(5) 前(4) 感(4) 不(4) 事(4) 守(3) 強(3) 口(3) 素(3) 心(3) 身(3) 演(3) 開(3) 程(3) 度(3) 器(3) 優(3) 超(3) 見(3) 栄(3) 張(3) 君(3) 方(3) 参(3) 駄(2) 僅(2) 共(2) 通(2) 点(2) 端(2) 取(2) 人(2) 類(2) 由(2) 在(2) 利(2) 振(2) 味(2) 専(2) 動(2) 悸(2) 加(2) 速(2) 終(2) 告(2) 情(2) 戦(2) 練(2) 萎(2) 位(2) 急(2) 構(2) 信(2) 待(2) 伏(2) 帰(2) 大(2) 対(2) 談(2) 解(2) 違(2) 無(2) 割(1) 切(1) 黙(1) 傷(1) 笑(1) 頷(1) 地(1) 団(1) 流(1) 辞(1) 握(1) 今(1) 日(1) 摂(1) 夕(1) 食(1) 昼(1) 休(1) 覆(1) 仕(1) 草(1) 知(1) 欲(1) 求(1) 偶(1) 像(1) 中(1) 探(1) 覚(1) 攻(1) 込(1) 肺(1) 退(1) 治(1) 怠(1) 惰(1) 壊(1) 呆(1) 返(1) 暮(1) 面(1) 走(1) 失(1) 寒(1) 忘(1) 安(1) 定(1) 造(1) 手(1) 入(1) 雑(1) 扱(1) 居(1) 思(1) 分(1) 念(1) 力(1) 配(1) 受(1) 性(1) 明(1) 恐(1) 読(1) 管(1) 巻(1) 近(1) 敵(1) 誤(1) 邪(1) 悪(1) 一(1) 番(1) 壮(1) 絶(1) 勘(1) 逃(1) 暇(1) 時(1) 問(1) 質(1) 何(1) 癖(1) 言(1) 訳(1) 疲(1) 果(1) 眠(1) 態(1)
モニタリング,DECO*27,2024-11-22,23860559,-0.4800167828798290,42.64705882352940,57.35294117647060,0.05608747,0.17621064,-0.14825322,歌,側,知(10) 願(5) 欲(5) 泣(4) 取(4) 弱(3) 度(3) 高(3) 言(2) 普(2) 通(2) 涙(2) 凹(2) 音(2) 朝(2) 来(2) 一(2) 緒(2) 何(2) 受(2) 止(2) 我(2) 慢(2) 出(2) 慰(2) 愛(2) 才(2) 能(2) 涸(2) 濡(2) 舐(2) 飲(2) 干(2) 頼(2) 散(2) 最(2) 分(2) 君(2) 痛(2) 感(2) 吸(2) 救(2) 見(2) 震(1) 声(1) 漏(1) 正(1) 直(1) 効(1) 恥(1) 隠(1) 中(1) 悔(1) 推(1) 子(1) 時(1) 丁(1) 好(1) 名(1) 前(1) 呼(1) 会(1) 参(1) 上(1) 歌(1) 仕(1) 舞(1) 病(1) 側(1) 守(1) 怖(1) 覗(1)
オブソミート (Obsolete Meat),32ki,2024-11-08,11418578,-3.8119940608739900,36.36363636363640,63.63636363636360,0.049385484,0.1118086,-0.13836104,空,反,味(6) 食(6) 同(5) 手(4) 後(4) 勝(3) 続(3) 私(3) 一(2) 品(2) 分(2) 加(2) 行(2) 下(2) 実(2) 意(2) 無(2) 流(2) 新(2) 給(2) 然(2) 様(2) 気(2) 持(2) 事(2) 何(2) 処(2) 年(2) 主(2) 観(2) 廃(2) 上(2) 飽(2) 好(2) 境(1) 突(1) 如(1) 担(1) 方(1) 三(1) 星(1) 不(1) 相(1) 応(1) 店(1) 舗(1) 構(1) 撃(1) 沈(1) 正(1) 礼(1) 儀(1) 作(1) 法(1) 推(1) 知(1) 形(1) 成(1) 嗚(1) 呼(1) 話(1) 題(1) 性(1) 先(1) 碌(1) 咀(1) 嚼(1) 嚥(1) 見(1) 映(1) 識(1) 必(1) 死(1) 拵(1) 伝(1) 義(1) 兎(1) 角(1) 嘲(1) 笑(1) 塗(1) 言(1) 飛(1) 語(1) 現(1) 全(1) 量(1) 追(1) 片(1) 適(1) 当(1) 遊(1) 塞(1) 声(1) 影(1) 仕(1) 枷(1) 得(1) 並(1) 思(1) 塵(1) 偏(1) 傾(1) 向(1) 神(1) 捧(1) 奴(1) 隷(1) 満(1) 足(1) 出(1) 度(1) 湧(1) 毎(1) 腹(1) 客(1) 反(1) 確(1) 証(1) 例(1) 数(1) 脚(1) 光(1) 役(1) 取(1) 代(1) 時(1) 隣(1) 居(1) 延(1) 長(1) 線(1) 腐(1) 落(1) 達(1) 有(1) 賞(1) 期(1) 限(1) 過(1) 棄(1) 次(1) 注(1) 文(1) 大(1) 前(1) 提(1) 公(1) 秘(1) 密(1) 嬉(1) 宣(1) 番(1) 煎(1) 以(1) 是(1) 非(1) 冷(1) 残(1) 飯(1) 召(1) 狙(1) 功(1) 名(1) 心(1) 欲(1) 張(1) 空(1) 回(1) 変(1) 抱(1) 矜(1) 捨(1) 和(1) 供(1) 速(1) 馬(1) 評(1) 模(1) 造(1) 来(1) 直(1) 此(1) 釈(1) 迦(1) 減(1) 散(1) 合(1) 馳(1) 走(1)
テトリス,柊マグネタイト,2024-11-08,27455390,-1.23413560166955,40.72164948453610,59.27835051546390,0.05465758,0.13773179,-0.15132867,生,借,知(9) 恥(5) 信(4) 私(4) 誰(4) 行(4) 消(3) 興(3) 味(3) 常(3) 見(3) 狂(3) 生(3) 気(3) 迷(3) 惑(3) 共(2) 苦(2) 悪(2) 感(2) 食(2) 目(2) 金(2) 付(2) 本(2) 全(2) 部(2) 回(2) 終(2) 過(2) 去(2) 記(2) 憶(2) 助(2) 引(2) 名(2) 日(2) 早(2) 振(1) 罵(1) 倒(1) 更(1) 新(1) 降(1) 隕(1) 石(1) 抹(1) 可(1) 救(1) 派(1) 手(1) 動(1) 備(1) 薬(1) 超(1) 酷(1) 暗(1) 号(1) 化(1) 識(1) 乱(1) 闘(1) 放(1) 置(1) 陰(1) 送(1) 草(1) 言(1) 壊(1) 近(1) 未(1) 来(1) 勝(1) 現(1) 代(1) 小(1) 窓(1) 加(1) 担(1) 経(1) 費(1) 百(1) 分(1) 足(1) 湯(1) 柚(1) 子(1) 添(1) 後(1) 妄(1) 惹(1) 勤(1) 臨(1) 時(1) 休(1) 業(1) 洗(1) 濯(1) 配(1) 刺(1) 交(1) 換(1) 借(1) 温(1) 泉(1) 旅(1) 三(1) 泊(1) 四(1) 事(1) 性(1) 羞(1) 鬱(1) 躁(1) 忙(1) 眠(1) 今(1) 殴(1) 絶(1) 人(1) 界(1) 隈(1) 不(1) 安(1) 出(1) 空(1) 嘘(1) 許(1)
風神,Vaundy,2024-11-01,16194225,-1.6130420118570300,28.695652173913000,71.30434782608700,0.04624251,0.13706866,-0.115278006,愛,意,風(10) 痛(6) 誰(4) 想(4) 擦(4) 傷(4) 絶(4) 受(4) 変(4) 難(4) 纏(3) 救(2) 込(2) 食(2) 大(2) 脳(2) 意(2) 思(2) 一(2) 手(2) 心(2) 臓(2) 言(2) 芽(2) 吹(2) 先(2) 報(2) 隙(2) 間(2) 悲(1) 劇(1) 気(1) 取(1) 面(1) 倒(1) 砕(1) 煮(1) 故(1) 静(1) 観(1) 栄(1) 養(1) 頬(1) 喉(1) 元(1) 吸(1) 肺(1) 嫌(1) 君(1) 神(1) 世(1) 愛(1) 少(1) 分(1) 凪(1) 僕(1) 拭(1)
オトノケ - Otonoke,Creepy Nuts,2024-10-17,48777285,-2.8677288740873300,37.30569948186530,62.69430051813470,0.057532247,0.17621064,-0.13472995,歌,暗,中(8) 何(7) 今(6) 方(5) 生(4) 暗(4) 闇(4) 飛(4) 立(4) 彼(4) 四(3) 合(3) 君(3) 束(2) 目(2) 通(2) 分(2) 先(2) 上(2) 背(2) 羽(2) 懐(2) 暖(2) 足(2) 元(2) 花(2) 咲(2) 度(2) 前(2) 瞼(2) 裏(2) 耳(2) 胸(2) 奥(2) 居(2) 着(2) 原(2) 待(2) 諦(1) 悪(1) 輩(1) 敵(1) 止(1) 速(1) 黙(1) 下(1) 押(1) 我(1) 儘(1) 邪(1) 魔(1) 俺(1) 人(1) 貴(1) 貞(1) 伽(1) 椰(1) 黄(1) 泉(1) 国(1) 御(1) 祈(1) 祷(1) 時(1) 尺(1) 寸(1) 様(1) 呼(1) 声(1) 文(1) 字(1) 憑(1) 必(1) 死(1) 這(1) 出(1) 霧(1) 晴(1) 手(1) 噛(1) 痛(1) 重(1) 日(1) 賽(1) 河(1) 真(1) 積(1) 鬼(1) 渡(1) 大(1) 海(1) 鼻(1) 歌(1) 祓(1) 末(1) 代(1) 札(1) 誰(1) 開(1) 禁(1) 后(1) 後(1) 知(1) 百(1) 年(1) 超(1) 久(1) 娑(1) 婆(1) 若(1) 葉(1) 来(1) 確(1) 眠(1) 飽(1) 盾(1) 矛(1) 肩(1) 抱(1) 怒(1) 消(1) 去(1)
かわいいだけじゃだめですか？,CUTIE STREET,2024-10-16,24935879,-0.1849259063601490,43.52941176470590,56.47058823529410,0.061344836,0.13944751,-0.1666556,夢,層,愛(10) 本(6) 出(5) 可(5) 気(4) 時(4) 分(3) 中(3) 私(3) 手(3) 所(3) 磨(3) 世(3) 界(3) 戦(3) 使(3) 写(3) 間(2) 合(2) 見(2) 今(2) 日(2) 比(2) 免(2) 取(2) 思(2) 小(2) 多(2) 心(2) 前(2) 大(1) 家(1) 遅(1) 刻(1) 逃(1) 散(1) 財(1) 道(1) 具(1) 応(1) 援(1) 夢(1) 失(1) 敗(1) 柄(1) 顔(1) 才(1) 能(1) 優(1) 長(1) 征(1) 服(1) 右(1) 左(1) 正(1) 面(1) 国(1) 野(1) 町(1) 臆(1) 病(1) 楽(1) 一(1) 場(1) 当(1) 守(1) 人(1) 願(1) 短(1) 縦(1) 横(1) 斜(1) 好(1) 紀(1) 元(1) 君(1) 角(1) 度(1) 自(1) 撮(1) 盛(1) 宇(1) 宙(1) 成(1) 層(1) 圏(1) 飛(1) 越(1) 行(1) 無(1) 限(1) 絶(1) 対(1) 色(1) 救(1) 原(1) 宿(1) 集(1) 食(1) 全(1) 銀(1) 河(1) 地(1) 球(1) 形(1) 変(1) 作(1)
BRAIN,Kanaria,2024-10-11,13859750,-1.7207440808415400,29.761904761904800,70.23809523809520,0.0527844,0.13944751,-0.12137893,夢,出,声(7) 去(5) 妖(4) 艶(4) 聡(4) 明(4) 行(4) 止(4) 取(3) 中(3) 満(3) 心(3) 手(2) 戻(2) 日(2) 強(2) 聞(2) 形(2) 夢(1) 目(1) 闇(1) 弱(1) 怖(1) 酔(1) 覚(1) 頭(1) 粕(1) 意(1) 味(1) 知(1) 散(1) 逃(1) 出(1) 僕(1) 青(1) 音(1) 助(1) 空(1) 私(1) 溶(1) 二(1) 人(1)
チャンカパーナ,NEWS,2024-10-09,13797939,-0.4249162301421170,36.206896551724100,63.793103448275900,0.060691502,0.13773179,-0.12955193,生,褐,君(7) 夜(6) 恋(4) 美(4) 息(3) 人(3) 身(3) 狂(3) 一(2) 痛(2) 欲(2) 体(2) 止(2) 抱(2) 吐(2) 探(2) 世(2) 肌(2) 深(1) 見(1) 呑(1) 黒(1) 髪(1) 行(1) 先(1) 違(1) 迷(1) 飛(1) 乗(1) 悲(1) 誰(1) 話(1) 手(1) 握(1) 熱(1) 頷(1) 恥(1) 瞳(1) 捨(1) 二(1) 眠(1) 場(1) 所(1) 服(1) 脱(1) 滑(1) 込(1) 花(1) 天(1) 使(1) 触(1) 好(1) 悪(1) 戯(1) 言(1) 舞(1) 上(1) 生(1) 番(1) 味(1) 何(1) 度(1) 露(1) 果(1) 実(1) 覚(1) 約(1) 束(1) 月(1) 今(1) 界(1) 隠(1) 覗(1) 褐(1) 色(1) 葡(1) 萄(1) 燃(1) 腕(1) 華(1) 奢(1) 肩(1)
